block_id,route_id,wheelchair_accessible,direction_id,trip_headsign,shape_id,service_id,trip_id
a_1-16-29,57,1,0,Southdale,1377,1_merged_67226,1178
b_1-8-4,F8,1,1,University of Manitoba,3461,1_merged_67229,2245_merged_81636
b_3-37-2,39,1,0,Cathedral & Main,3252,3_merged_67230,12021_merged_80206
a_1-18-12,18,1,0,Riverbend,1108,1_merged_67226,1492_merged_74675
b_1-8-10,F8,1,1,University of Manitoba,3461,1_merged_67229,2327_merged_83849
b_2-12-1,D12,1,1,The Airport,3417,2_merged_67231,8469_merged_83394
a_2-24-4,83,1,1,Thompson & Ness,1483,2_merged_67228,9550_merged_72501
b_2-48-1,48_merged_67223,1,1,Kildonan Place,3260,2_merged_67231,9515_merged_80237
a_2-10-2,10,1,1,Wolseley-Provencher via Provencher,871,2_merged_67228,8020_merged_71580
b_2-2-1,FX2,1,0,Garden City Centre,3470,2_merged_67231,7281_merged_81302
a_1-66-4,66,1,1,Downtown (City Hall),2393,1_merged_67226,4799_merged_72281
a_3-18-5,18,1,0,Garden City Centre via Jefferson,1110,3_merged_67227,12833
a_3-18-5,18,1,1,Tuxedo,1109,3_merged_67227,12832
a_3-18-5,18,1,0,Riverbend,1137,3_merged_67227,12831
a_3-18-5,18,1,0,Garden City Centre via Jefferson,1126,3_merged_67227,12837
a_3-18-5,18,1,1,Assiniboine Park,1127,3_merged_67227,12836
a_3-18-5,18,1,0,Garden City Centre via Jefferson,1126,3_merged_67227,12835
a_3-18-5,18,1,1,Assiniboine Park,1127,3_merged_67227,12834
a_3-18-5,18,1,0,Garden City Centre via Jefferson,1126,3_merged_67227,12839
a_3-18-5,18,1,1,Assiniboine Park,1127,3_merged_67227,12838
b_1-38-1,38_merged_67213,1,1,Garden City Hub,3249,1_merged_67229,4414_merged_76571
b_2-9-1,F9,1,1,University of Manitoba,3467,2_merged_67231,8220_merged_83355
a_2-15-4,15,1,0,Airport via Flight Road,975,2_merged_67228,8561_merged_75433
a_1-130-4,330_merged_67197,1,0,Riverbend and Main,3149,1_merged_67226,6987_merged_69807
b_1-11-2,D11,1,1,Beaumont Station,3411,1_merged_67229,2821_merged_77186
b_2-136-1,336,1,0,Garden City Hub,3301,2_merged_67231,9871_merged_83674
b_6-3-57,FX3,1,0,Redonda & Pandora,3474,6,15555
b_3-31-1,31_merged_67215,1,0,Riverbend,3493,3_merged_67230,11925_merged_82891
b_1-9-1,F8,1,0,Glenway,3460,1_merged_67229,2470_merged_81750
