stop_id,stop_code,stop_name,stop_lat,stop_lon,stop_url
40853,40853,Eastbound Sutherland at Gladstone,49.90501602737451,-97.1231647341613,https://winnipegtransit.com/stops/40853
40854,40854,Southbound Gateway at Bonner,49.94687688334947,-97.04850955514297,https://winnipegtransit.com/stops/40854
40856,40856,Southbound Gateway at Headmaster,49.94843597102628,-97.0465507101232,https://winnipegtransit.com/stops/40856
40858,40858,Northbound Raleigh at Knowles,49.94952086187624,-97.04580980233676,https://winnipegtransit.com/stops/40858
40860,40860,Westbound Headmaster at Sunkist,49.945911380628736,-97.03927901989219,https://winnipegtransit.com/stops/40860
40861,40861,Eastbound Headmaster at Mitchelson,49.946010703832414,-97.03983255537746,https://winnipegtransit.com/stops/40861
40862,40862,Eastbound Headmaster at Vintage Hills,49.94719199830131,-97.04372949235713,https://winnipegtransit.com/stops/40862
40863,40863,Westbound Headmaster at Tamarisk,49.9472949641756,-97.04290288494717,https://winnipegtransit.com/stops/40863
40864,40864,Westbound Whellams at Henderson,49.94643613773144,-97.08623318056127,https://winnipegtransit.com/stops/40864
40865,40865,Eastbound Whellams at Henderson,49.94619758562215,-97.08594991222189,https://winnipegtransit.com/stops/40865
40868,40868,Eastbound Concordia at Reg Wyatt West,49.91288854128074,-97.04981232431084,https://winnipegtransit.com/stops/40868
40869,40869,Westbound Concordia at Reg Wyatt West,49.91314593788872,-97.04960692428111,https://winnipegtransit.com/stops/40869
40870,40870,Eastbound Concordia at Grantsmuir,49.91611777886125,-97.0428839148101,https://winnipegtransit.com/stops/40870
40871,40871,Westbound Concordia at Grantsmuir,49.91638415131768,-97.04267810001429,https://winnipegtransit.com/stops/40871
40872,40872,Eastbound Edmund Gale at Ravenhurst,49.89522609311792,-96.96795153959363,https://winnipegtransit.com/stops/40872
40873,40873,Southbound Ravenhurst at Edmund Gale,49.89475170431447,-96.96859807281835,https://winnipegtransit.com/stops/40873
40874,40874,Eastbound Edmund Gale at Desrosiers,49.895613583369986,-96.96389707144203,https://winnipegtransit.com/stops/40874
40875,40875,Westbound Edmund Gale at Chadwick South,49.89571539477263,-96.9640598835777,https://winnipegtransit.com/stops/40875
